# celsius	fahrenheit
1.00	33.80
2.00	35.60
3.00	37.40
4.00	39.20
5.00	41.00
6.00	42.80
7.00	44.60
8.00	46.40
9.00	48.20
10.00	50.00
11.00	51.80
12.00	53.60
13.00	55.40
14.00	57.20
15.00	59.00
16.00	60.80
17.00	62.60
18.00	64.40
19.00	66.20
20.00	68.00
21.00	69.80
22.00	71.60
23.00	73.40
24.00	75.20
25.00	77.00
26.00	78.80
27.00	80.60
28.00	82.40
29.00	84.20
30.00	86.00
31.00	87.80
32.00	89.60
33.00	91.40
34.00	93.20
35.00	95.00
36.00	96.80
37.00	98.60
38.00	100.40
39.00	102.20
40.00	104.00
41.00	105.80
42.00	107.60
43.00	109.40
44.00	111.20
45.00	113.00
46.00	114.80
47.00	116.60
48.00	118.40
49.00	120.20
50.00	122.00
51.00	123.80
52.00	125.60
53.00	127.40
54.00	129.20
55.00	131.00
56.00	132.80
57.00	134.60
58.00	136.40
59.00	138.20
60.00	140.00
61.00	141.80
62.00	143.60
63.00	145.40
64.00	147.20
65.00	149.00
66.00	150.80
67.00	152.60
68.00	154.40
69.00	156.20
70.00	158.00
71.00	159.80
72.00	161.60
73.00	163.40
74.00	165.20
75.00	167.00
76.00	168.80
77.00	170.60
78.00	172.40
79.00	174.20
80.00	176.00
81.00	177.80
82.00	179.60
83.00	181.40
84.00	183.20
85.00	185.00
86.00	186.80
87.00	188.60
88.00	190.40
89.00	192.20
90.00	194.00
91.00	195.80
92.00	197.60
93.00	199.40
94.00	201.20
95.00	203.00
96.00	204.80
97.00	206.60
98.00	208.40
99.00	210.20
100.00	212.00
