#filename	tp	sens	spec	hmean
prediction01.tsv	929	94.51	99.57	96.97
prediction02.tsv	920	93.59	99.57	96.49
prediction03.tsv	914	92.98	99.56	96.16
prediction04.tsv	921	93.69	99.89	96.69
prediction05.tsv	884	89.93	100.00	94.70
prediction06.tsv	844	85.86	99.76	92.29
prediction07.tsv	854	86.88	99.77	92.88
prediction08.tsv	860	87.49	99.88	93.28
prediction09.tsv	857	87.18	100.00	93.15
prediction10.tsv	836	85.05	100.00	91.92
prediction11.tsv	848	86.27	100.00	92.63
prediction12.tsv	824	83.83	100.00	91.20
prediction13.tsv	803	81.69	100.00	89.92
prediction14.tsv	784	79.76	100.00	88.74
prediction15.tsv	677	68.87	100.00	81.57
prediction16.tsv	663	67.45	100.00	80.56
prediction17.tsv	710	72.23	100.00	83.87
prediction18.tsv	709	72.13	100.00	83.81
prediction19.tsv	710	72.23	100.00	83.87
prediction20.tsv	700	71.21	100.00	83.18
